run_id,target_x,target_y,target_z,target_yaw,slew_err,boom_err,stick_err,telescope_err,yaw_err,actual_x,actual_y,actual_z,task_err_norm,duration_s
1,-4.0,2.0,1.5,0.0,-0.0006109066829980137,-0.00410614672405285,0.00337204593592344,0.0006740452546265541,0.005235983333333333,-4.0061934833858235,2.0061569397867274,1.4890795382411297,0.013982976400423714,17.41728091687081
2,-4.0,2.0,2.5,0.78,-0.0006109066575334943,-0.0036097986585761355,-0.00014472661525455344,-0.0003854545596838621,-0.024273072222222414,-4.003317553974829,2.004716778254307,2.483378169364846,0.01759373226862213,9.684550208333334
3,-3.5,1.5,2.0,-0.78,-0.00177091160241849,-0.005070028419772443,0.002639643713837181,0.0016631544707674806,0.012055777777777887,-3.507188346228956,1.5104380179639603,1.98538083268752,0.019347986805701173,19.196586597222222
4,-3.5,2.5,2.0,1.57,0.0006567980778543481,-0.0023649119912483307,-0.000348787550606966,0.0002640290790427713,-0.02887557222222248,-3.503447891080151,2.4989893414396867,1.988673359143864,0.011882852212748039,29.22430277777778
5,-4.5,2.0,2.0,-1.57,-0.00065566386742133,-0.00014280226235163784,-0.0029553541462066235,5.026872806201954e-05,0.014912950000000036,-4.495994762901424,2.00175107912518,1.9910468910002272,0.009963250628196571,38.889055347222225
