Name,Author,Link,Notes,Release Date,Status
"DexGraspNet 2.0: Learning Generative Dexterous
Grasping in Large-scale Synthetic Cluttered Scenes
",Jialiang Zhang Haoran Liu Danshi Li Xinqiang Yu Haoran Geng Yufei Ding Jiayi Chen He Wang,https://arxiv.org/abs/2410.23004,6-DoF Pose Synthesis,2024,Finished
Graspness Discovery in Clutters for Fast and Accurate Grasp Detection,Chenxi Wang∗ Hao-Shu Fang∗ Minghao Gou Hongjie Fang Jin Gao Cewu Lu†,https://arxiv.org/html/2406.11142v1,,2024,Reading
,,,,,
Learning to Detect Multi-Modal Grasps for Dexterous Grasping in Dense Clutter,Matt Corsaro Stefanie Tellex George Konidaris,https://arxiv.org/abs/2106.03919,Dense Clutter,2021,Finished
,,,,,
GE-Grasp: Efficient Target-Oriented Grasping in Dense Clutter,Zhan Liu Ziwei Wang Sichao Huang Jie Zhou Jiwen Lu,https://arxiv.org/abs/2207.11941,Dense Clutter,https://arxiv.org/abs/2207.11941022,Finished
High precision grasp pose detection in dense clutter,Marcus Gualtieri Andreas ten Pas Kate Saenko Robert Platt,https://arxiv.org/abs/1603.01564,Dense Clutter,2016,Finished
,,,,,
MVGrasp: Real-time multi-view 3D object grasping in highly cluttered environments,Hamidreza Kasaei a   Mohammadreza Kasaei b,https://www.sciencedirect.com/science/article/pii/S0921889022002020,Dense Clutter,2023,Finished
Grasp Multiple Objects with One Hand,Yuyang Li Bo Liu Yiran Geng Puhao Li Yaodong Yang Yixin Zhu Tengyu Liu Siyuan Huang,https://arxiv.org/abs/2310.15599,MOG,2024,Reading
"Robotic Multi-Object Grasping from a Pile: Techniques and Robotic Multi-Object Grasping from a Pile: Techniques and Algorithms for Enhanced Dexterity ",Tianze Chen,https://digitalcommons.usf.edu/etd/10607/,MOG,2024,Finished
Efficient push-grasping for multiple target objects in clutter environments,Liangdong Wu1Yurou ChenYurou Chen2Zhengwei LiZhengwei Li1Zhiyong Liu Zhiyong Liu123*,https://www.frontiersin.org/journals/neurorobotics/articles/10.3389/fnbot.2023.1188468/full,Push-Grasping,2023,Reading
Learning Robot Grasping from a Random Pile with Deep Q-Learning,Bin Chen12 Jianhua Su12(B) Lili Wang12 and Qipeng Gu12,https://link.springer.com/chapter/10.1007/978-3-030-89098-8_14,Dense Clutter,2021,Finished
Learning Push-Grasping in Dense Clutter,Marios Kiatos; Iason Sarantopoulos; Leonidas Koutras; Sotiris Malassiotis; Zoe Doulgeri,https://ieeexplore.ieee.org/document/9815129,Dense Clutter,2022,Finished
