Notes,Name,Link,Status,Author,Release Date
,Dojo: A Differentiable Physics Engine for Robotics,https://arxiv.org/pdf/2203.00806,Finished,Taylor A. Howell Simon Le Cleac’h Jan Brudigam J. Zico Kolter  Mac Schwager  and Zachary Manchester,2023
,Prediction Horizon-Varying Model Predictive Control (MPC) for Autonomous Vehicle Control,https://www.mdpi.com/2079-9292/13/8/1442,Shelved,Zhenbin Chen Jiaqin Lai Peixin Li * Omar I. Awad and Yubing Zhu,2024
ICRA24 Best Paper in Robotic Manipulation,SARA-RT: Scaling up Robotics Transformers with Self-Adaptive Robust Attention,https://arxiv.org/abs/2312.01990,To-do,Isabel Leal Krzysztof Choromanski Deepali Jain Avinava Dubey Jake Varley Michael Ryoo Yao Lu Frederick Liu Vikas Sindhwani Quan Vuong Tamas Sarlos Ken Oslund Karol Hausman Kanishka Rao,2024
,"End-to-end Reinforcement Learning of Robotic
Manipulation with Robust Keypoints Representation",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9980136,Finished,Tianying Wang; En Yen Puang; Marcus Lee; Wei Jing; Yan Wu,2022
,Deep reinforcement learning for robotic manipulation with asynchronous off-policy updates,https://ieeexplore.ieee.org/document/7989385,Finished,Shixiang Gu; Ethan Holly; Timothy Lillicrap; Sergey Levine,2017
,"End-to-End Robotic Reinforcement Learning
without Reward Engineering",https://arxiv.org/abs/1904.07854,To-do,Avi Singh Larry Yang Kristian Hartikainen Chelsea Finn Sergey Levine,2019
,End-to-End Affordance Learning for Robotic Manipulation,https://arxiv.org/abs/2209.12941,Finished,Yiran Geng Boshi An Haoran Geng Yuanpei Chen Yaodong Yang Hao Dong,2022
AML,Hierarchical Planning and Policy Shaping Shared Autonomy for Articulated Robots,http://dx.doi.org/10.48550/arXiv.2307.01943,Finished,Ehsan Yousefi; Mo Chen; Inna Sharf,2023
AML,"Assisting Operators of Articulated Machinery with
Optimal Planning and Goal Inference",https://ieeexplore.ieee.org/document/9811864,Finished,Ehsan Yousefi; Dylan P. Losey; Inna Sharf,2022
AML,Grasp Planning with CNN for Log-loading Forestry Machine,https://ieeexplore.ieee.org/document/10161562,Finished,Elie Ayoub Patrick Levesque and Inna Sharf,2023
,"A Survey on Deep Reinforcement Learning Algorithms for
Robotic Manipulation",https:// doi.org/10.3390/s23073762,Shelved,Han D.; Mulyana B.; Stankovic V.; Cheng S.,2023
,A Framework for Force and Visual Control of Robot Manipulators,https://link.springer.com/chapter/10.1007/978-3-642-14743-2_31,Shelved,Vincenzo Lippiello Bruno Siciliano & Luigi Villani,2010
,,,,,
,,,,,
,,,,,
