t_ns,t_offset_s,ax,ay,az,gx,gy,gz,qx,qy,qz,qw
1783095553907514564,52.745947623,-3.3365468978881836,0.304467111825943,9.2015380859375,0.15288129658406832,0.42979859198091513,0.19105837765069583,-0.06682755798101425,0.1570015400648117,0.4094937741756439,0.896213948726654
1783095554244631576,53.083064635,0.2942599356174469,1.708666443824768,12.993953704833984,0.10228124280317547,0.17147199242741204,0.11222879889374686,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244671698,53.083104757,0.21884259581565857,2.0642054080963135,11.819598197937012,0.086834908055861,0.20822361648136714,0.09944562530976249,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244684767,53.083117826,-8.005241394042969,-2.015514373779297,3.7104358673095703,-0.02874628227147508,-0.40536874883939744,-0.14769572232489014,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244697396,53.083130455,-2.4961819648742676,0.09976287186145782,8.756217002868652,0.051148552628427275,0.006888621610491246,0.009430779029503168,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244709443,53.083142502,1.985763430595398,3.173917770385742,13.022684097290039,0.05967066835108352,0.4191459473275948,0.1463172701067505,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244728410,53.083161469,-7.207971096038818,-0.5179411768913269,4.874017715454102,-0.09692321221391441,-0.23599166556208995,-0.08058406933135082,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244758777,53.083191836,-5.828910827636719,-1.00635826587677,5.66769552230835,-0.07348739397660971,-0.26368854166072275,-0.0837798627273469,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244781701,53.08321476,2.5603718757629395,2.847109317779541,14.304779052734375,0.0383653790444429,0.40476487704561237,0.13406671211067486,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244795124,53.083228183,-2.63983416557312,0.9078059196472168,9.072251319885254,-0.05750842283543993,0.040977082940670255,-0.0022871300891491773,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244807049,53.083240108,-8.080658912658691,-2.5542097091674805,3.54164457321167,-0.1278158817085433,-0.3611602735281182,-0.17059890832952881,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554244819289,53.083252348,0.0033644288778305054,1.0981450080871582,12.336745262145996,-0.004245201389358685,0.33285952563570026,0.08559718726044609,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554245015600,53.083448659,-0.27316585183143616,1.974422812461853,12.573771476745605,-0.018093639698749425,0.3030321206064034,0.09571719968110037,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554245043816,53.083476875,-9.851170539855957,-2.428514242172241,4.0121049880981445,-0.15444750166422272,-0.4176192901907158,-0.16900101163153078,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554245054782,53.083487841,-3.810598850250244,-0.5574454665184021,9.905433654785156,-0.026615753340811017,0.004758092679827184,0.020616054875192167,-0.0670594871044159,0.1559404581785202,0.4100675582885742,0.8961195349693298
1783095554324423961,53.16285702,2.840493679046631,2.5957181453704834,16.046558380126953,0.054876978257089384,0.425537534119587,0.15217622466607666,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324464054,53.162897113,-6.94580602645874,-1.8431317806243896,6.9497904777526855,-0.04365998478612352,-0.2919180832815361,-0.11147673882597972,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324482560,53.162915619,-7.2510666847229,-2.84869647026062,6.012460708618164,0.004276914073223234,-0.24185062012141612,-0.08750828835600902,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324567985,53.163001044,2.280250310897827,2.297640085220337,15.400126457214355,0.10867282959516765,0.4681481127328682,0.17401414620538333,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324586639,53.163019698,-3.990163803100586,0.3691105544567108,9.815650939941406,0.010668500865215421,-0.06821252059467364,0.005702353400841058,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324602600,53.163035659,-9.966092109680176,-3.1108617782592773,3.5344619750976562,-0.02128943309474552,-0.4996446540212822,-0.15142414795355227,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324617870,53.163050929,0.03209485113620758,1.3279883861541748,13.41772747039795,0.12997812722418692,0.271606852168623,0.13672988159638358,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324633503,53.163066562,1.7235983610153198,2.760917901992798,13.769675254821777,0.09162859814985515,0.18585306270939447,0.09571719968110037,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324648966,53.163082025,-9.161640167236328,-2.784053087234497,2.859297275543213,-0.027681017806143047,-0.5214825422710744,-0.18764313977484132,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
1783095554324847085,53.163280144,-3.5592076778411865,-0.6867324113845825,8.152877807617188,0.08630227582319498,0.10116452939311935,0.04991082767182303,-0.06612700968980789,0.15664005279541016,0.41036152839660645,0.8959321975708008
