t_ns,t_offset_s,T_base_grapple_00,T_base_grapple_01,T_base_grapple_02,T_base_grapple_03,T_base_grapple_10,T_base_grapple_11,T_base_grapple_12,T_base_grapple_13,T_base_grapple_20,T_base_grapple_21,T_base_grapple_22,T_base_grapple_23,T_base_grapple_30,T_base_grapple_31,T_base_grapple_32,T_base_grapple_33,z_axis_x,z_axis_y,z_axis_z
1783095545701213333,44.539646392,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545711329704,44.549762763,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545721017078,44.559450137,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545731566185,44.569999244,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545747175230,44.585608289,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545751322910,44.589755969,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545761385206,44.599818265,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545771527487,44.609960546,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545782888516,44.621321575,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545813489713,44.651922772,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545821620207,44.660053266,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545831567467,44.670000526,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545841212115,44.679645174,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545851447932,44.689880991,-0.02331681336936218,-0.9994484551856395,0.02364554167992717,-4.598742939809877,0.9993753457570164,-0.02267378191980776,0.02710752490539675,-0.800342939380727,-0.026556440035178628,0.024262832491113686,0.9993528258088663,-0.22391289568246184,0.0,0.0,0.0,1.0,0.02364554167992717,0.02710752490539675,0.9993528258088663
1783095545861499378,44.699932437,-0.023397415961999103,-0.9994605013134946,0.023049235138703213,-4.598587303802617,0.9992758269520445,-0.02268865509211479,0.03054581148731501,-0.8012403321786077,-0.030006375915940266,0.02374723656110535,0.999267574856756,-0.22389064518396104,0.0,0.0,0.0,1.0,0.023049235138703213,0.03054581148731501,0.999267574856756
1783095545871571977,44.710005036,-0.023397415961999103,-0.9994605013134946,0.023049235138703213,-4.598587303802617,0.9992758269520445,-0.02268865509211479,0.03054581148731501,-0.8012403321786077,-0.030006375915940266,0.02374723656110535,0.999267574856756,-0.22389064518396104,0.0,0.0,0.0,1.0,0.023049235138703213,0.03054581148731501,0.999267574856756
1783095545890484207,44.728917266,-0.023397415961999103,-0.9994605013134946,0.023049235138703213,-4.598587303802617,0.9992758269520445,-0.02268865509211479,0.03054581148731501,-0.8012403321786077,-0.030006375915940266,0.02374723656110535,0.999267574856756,-0.22389064518396104,0.0,0.0,0.0,1.0,0.023049235138703213,0.03054581148731501,0.999267574856756
1783095545892081825,44.730514884,-0.023397415961999103,-0.9994605013134946,0.023049235138703213,-4.598587303802617,0.9992758269520445,-0.02268865509211479,0.03054581148731501,-0.8012403321786077,-0.030006375915940266,0.02374723656110535,0.999267574856756,-0.22389064518396104,0.0,0.0,0.0,1.0,0.023049235138703213,0.03054581148731501,0.999267574856756
1783095545901573027,44.740006086,-0.023346029885625372,-0.9994998592628167,0.021330593573295642,-4.597873976825963,0.9992847027907861,-0.022695453330782298,0.030248953146197043,-0.8011171202959055,-0.02974971692151086,0.022021528823401797,0.9993147685346045,-0.22391023305162028,0.0,0.0,0.0,1.0,0.021330593573295642,0.030248953146197043,0.9993147685346045
1783095545911403104,44.749836163,-0.023346029885625372,-0.9994998592628167,0.021330593573295642,-4.597873976825963,0.9992847027907861,-0.022695453330782298,0.030248953146197043,-0.8011171202959055,-0.02974971692151086,0.022021528823401797,0.9993147685346045,-0.22391023305162028,0.0,0.0,0.0,1.0,0.021330593573295642,0.030248953146197043,0.9993147685346045
1783095545921529646,44.759962705,-0.023394329060941087,-0.999551081243626,0.018717407739495904,-4.596927161694588,0.9991250438207675,-0.022726915182752216,0.035108889706528694,-0.8023398297923513,-0.034667739729287446,0.01952237974669381,0.9992081987809589,-0.22388921971449663,0.0,0.0,0.0,1.0,0.018717407739495904,0.035108889706528694,0.9992081987809589
1783095545931170961,44.76960402,-0.023394329060941087,-0.999551081243626,0.018717407739495904,-4.596927161694588,0.9991250438207675,-0.022726915182752216,0.035108889706528694,-0.8023398297923513,-0.034667739729287446,0.01952237974669381,0.9992081987809589,-0.22388921971449663,0.0,0.0,0.0,1.0,0.018717407739495904,0.035108889706528694,0.9992081987809589
1783095545941433604,44.779866663,-0.023607874956850888,-0.9995829958642469,0.016628367901827937,-4.596381922296957,0.9986281423065309,-0.022801177547970092,0.04713745533896634,-0.8054792854224175,-0.04673865245627856,0.01771837129881841,0.9987499975895311,-0.22376962920353397,0.0,0.0,0.0,1.0,0.016628367901827937,0.04713745533896634,0.9987499975895311
1783095545951470468,44.789903527,-0.023607874956850888,-0.9995829958642469,0.016628367901827937,-4.596381922296957,0.9986281423065309,-0.022801177547970092,0.04713745533896634,-0.8054792854224175,-0.04673865245627856,0.01771837129881841,0.9987499975895311,-0.22376962920353397,0.0,0.0,0.0,1.0,0.016628367901827937,0.04713745533896634,0.9987499975895311
1783095545961218986,44.799652045,-0.023719889341866005,-0.9995557328850215,0.018047263124834415,-4.599028172624426,0.9985308582774892,-0.02280811605158312,0.04915195733435541,-0.8063981864109413,-0.048718496664310246,0.019186628126507517,0.9986282498427053,-0.21549757776007888,0.0,0.0,0.0,1.0,0.018047263124834418,0.049151957334355414,0.9986282498427054
