t_ns,t_offset_s,joint_name,position,velocity,effort
1783095553241639297,52.080072356,grappletong2_joint,0.0,0.0,0.0
1783095553251339175,52.089772234,slew_joint,1.741837122222222,0.00698131111111111,-14.0
1783095553251339175,52.089772234,boom_joint,0.6859138166666666,0.01570795,115.0
1783095553251339175,52.089772234,stick_joint,-1.1571523166666664,0.0,16.0
1783095553251339175,52.089772234,telescope_joint,0.4929,0.002,0.0
1783095553251339175,52.089772234,hanger_joint,0.9389863444444444,0.0,0.0
1783095553251339175,52.089772234,bearingfork_joint,-0.15707949999999998,0.0,0.0
1783095553251339175,52.089772234,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553251339175,52.089772234,grappletong1_joint,0.0,0.0,0.0
1783095553251339175,52.089772234,grappletong2_joint,0.0,0.0,0.0
1783095553261419665,52.099852724,slew_joint,1.741837122222222,0.005235983333333333,-13.0
1783095553261419665,52.099852724,boom_joint,0.6859138166666666,0.01396262222222222,110.0
1783095553261419665,52.099852724,stick_joint,-1.1571523166666664,0.0,17.0
1783095553261419665,52.099852724,telescope_joint,0.493,0.002,-1.0
1783095553261419665,52.099852724,hanger_joint,0.9389863444444444,0.005235983333333333,0.0
1783095553261419665,52.099852724,bearingfork_joint,-0.15707949999999998,0.0,0.0
1783095553261419665,52.099852724,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553261419665,52.099852724,grappletong1_joint,0.0,0.0,0.0
1783095553261419665,52.099852724,grappletong2_joint,0.0,0.0,0.0
1783095553271603991,52.11003705,slew_joint,1.741837122222222,0.005235983333333333,-13.0
1783095553271603991,52.11003705,boom_joint,0.6859138166666666,0.01396262222222222,110.0
1783095553271603991,52.11003705,stick_joint,-1.1571523166666664,0.0,17.0
1783095553271603991,52.11003705,telescope_joint,0.493,0.002,-1.0
1783095553271603991,52.11003705,hanger_joint,0.9389863444444444,0.005235983333333333,0.0
1783095553271603991,52.11003705,bearingfork_joint,-0.15707949999999998,0.0,0.0
1783095553271603991,52.11003705,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553271603991,52.11003705,grappletong1_joint,0.0,0.0,0.0
1783095553271603991,52.11003705,grappletong2_joint,0.0,0.0,0.0
1783095553281393230,52.119826289,slew_joint,1.741837122222222,0.00698131111111111,-12.0
1783095553281393230,52.119826289,boom_joint,0.6859138166666666,0.012217294444444443,105.0
1783095553281393230,52.119826289,stick_joint,-1.1571523166666664,0.0,18.0
1783095553281393230,52.119826289,telescope_joint,0.493,0.002,-2.0
1783095553281393230,52.119826289,hanger_joint,0.9389863444444444,0.02094393333333333,0.0
1783095553281393230,52.119826289,bearingfork_joint,-0.1553341722222222,-0.01396262222222222,0.0
1783095553281393230,52.119826289,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553281393230,52.119826289,grappletong1_joint,0.0,0.0,0.0
1783095553281393230,52.119826289,grappletong2_joint,0.0,0.0,0.0
1783095553291785813,52.130218872,slew_joint,1.741837122222222,0.00698131111111111,-12.0
1783095553291785813,52.130218872,boom_joint,0.6859138166666666,0.012217294444444443,105.0
1783095553291785813,52.130218872,stick_joint,-1.1571523166666664,0.0,18.0
1783095553291785813,52.130218872,telescope_joint,0.493,0.002,-2.0
1783095553291785813,52.130218872,hanger_joint,0.9389863444444444,0.02094393333333333,0.0
1783095553291785813,52.130218872,bearingfork_joint,-0.1553341722222222,-0.01396262222222222,0.0
1783095553291785813,52.130218872,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553291785813,52.130218872,grappletong1_joint,0.0,0.0,0.0
1783095553291785813,52.130218872,grappletong2_joint,0.0,0.0,0.0
1783095553301748604,52.140181663,slew_joint,1.741837122222222,0.005235983333333333,-11.0
1783095553301748604,52.140181663,boom_joint,0.6876591444444444,0.008726638888888888,103.0
1783095553301748604,52.140181663,stick_joint,-1.1571523166666664,0.0,19.0
1783095553301748604,52.140181663,telescope_joint,0.4931,0.002,-3.0
1783095553301748604,52.140181663,hanger_joint,0.9372410166666665,0.04188786666666666,0.0
1783095553301748604,52.140181663,bearingfork_joint,-0.1553341722222222,-0.0314159,0.0
1783095553301748604,52.140181663,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553301748604,52.140181663,grappletong1_joint,0.0,0.0,0.0
1783095553301748604,52.140181663,grappletong2_joint,0.0,0.0,0.0
1783095553311643371,52.15007643,slew_joint,1.741837122222222,0.005235983333333333,-11.0
1783095553311643371,52.15007643,boom_joint,0.6876591444444444,0.008726638888888888,103.0
1783095553311643371,52.15007643,stick_joint,-1.1571523166666664,0.0,19.0
1783095553311643371,52.15007643,telescope_joint,0.4931,0.002,-3.0
1783095553311643371,52.15007643,hanger_joint,0.9372410166666665,0.04188786666666666,0.0
1783095553311643371,52.15007643,bearingfork_joint,-0.1553341722222222,-0.0314159,0.0
1783095553311643371,52.15007643,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553311643371,52.15007643,grappletong1_joint,0.0,0.0,0.0
1783095553311643371,52.15007643,grappletong2_joint,0.0,0.0,0.0
1783095553321533273,52.159966332,slew_joint,1.741837122222222,0.005235983333333333,-10.0
1783095553321533273,52.159966332,boom_joint,0.6876591444444444,0.00698131111111111,102.0
1783095553321533273,52.159966332,stick_joint,-1.1571523166666664,0.0,20.0
1783095553321533273,52.159966332,telescope_joint,0.4931,0.002,-4.0
1783095553321533273,52.159966332,hanger_joint,0.9372410166666665,0.047123849999999995,0.0
1783095553321533273,52.159966332,bearingfork_joint,-0.15358884444444443,-0.04363319444444444,0.0
1783095553321533273,52.159966332,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553321533273,52.159966332,grappletong1_joint,0.0,0.0,0.0
1783095553321533273,52.159966332,grappletong2_joint,0.0,0.0,0.0
1783095553331474557,52.169907616,slew_joint,1.741837122222222,0.005235983333333333,-10.0
1783095553331474557,52.169907616,boom_joint,0.6876591444444444,0.00698131111111111,102.0
1783095553331474557,52.169907616,stick_joint,-1.1571523166666664,0.0,20.0
1783095553331474557,52.169907616,telescope_joint,0.4931,0.002,-4.0
1783095553331474557,52.169907616,hanger_joint,0.9372410166666665,0.047123849999999995,0.0
1783095553331474557,52.169907616,bearingfork_joint,-0.15358884444444443,-0.04363319444444444,0.0
1783095553331474557,52.169907616,grapplecarrier_joint,-0.15533417222222218,0.0,-26.0
1783095553331474557,52.169907616,grappletong1_joint,0.0,0.0,0.0
1783095553331474557,52.169907616,grappletong2_joint,0.0,0.0,0.0
