t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,camera_x_in_base_x,camera_x_in_base_y,camera_x_in_base_z,camera_y_in_base_x,camera_y_in_base_y,camera_y_in_base_z,camera_z_in_base_x,camera_z_in_base_y,camera_z_in_base_z
1783095545747279610,44.585712669,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095545813726311,44.65215937,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095545871832817,44.710265876,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095545931463661,44.76989672,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095545983442810,44.821875869,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546041503628,44.879936687,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546101949695,44.940382754,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546161932696,45.000365755,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546221989357,45.060422416,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
1783095546272692651,45.11112571,base_link,zed_0_left_camera_frame,-0.07662808492184744,-0.21767134107788344,1.360521669752696,-0.16434891563147194,-0.0015999966041204212,0.9681616022738978,-0.18881203834518925,-0.8746788962133885,-0.3650752157319556,-0.3188368162198258,0.3661270465595605,-0.9286949083736035,0.05896399696864346,-0.3176284217391484,-0.06516021807215555,0.9459737478832523
