t_ns,t_offset_s,parent_frame,child_frame,x,y,z,qx,qy,qz,qw,is_static
1783095545871832817,44.710265876,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.013089584515667546,0.0,0.9999143277187338,False
1783095545871832817,44.710265876,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
1783095545871832817,44.710265876,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0741084277134831,0.9972501897426922,False
1783095545871832817,44.710265876,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095545871832817,44.710265876,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095545871832817,44.710265876,telescope,upperpassive,0.0,2.03711,-0.20229,0.4162804625192871,0.0,0.0,0.9092362600142652,False
1783095545871832817,44.710265876,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095545871832817,44.710265876,mainboom,stick,0.0,3.04904,-0.00649,-0.5202641752691401,0.0,0.0,0.8540053793340657,False
1783095545871832817,44.710265876,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095545925100761,44.76353382,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095545925140403,44.763573462,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095545931463661,44.76989672,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.015707304045508543,0.0,0.9998766326900642,False
1783095545931463661,44.76989672,mast,mainboom,0.0,-0.0601374,1.09553,0.1313912309302832,0.0,0.0,0.991330592907646,False
1783095545931463661,44.76989672,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0741084277134831,0.9972501897426922,False
1783095545931463661,44.76989672,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095545931463661,44.76989672,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095545931463661,44.76989672,telescope,upperpassive,0.0,2.03711,-0.20229,0.41469291399362007,0.0,0.0,0.9099614206566562,False
1783095545931463661,44.76989672,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095545931463661,44.76989672,mainboom,stick,0.0,3.04904,-0.00649,-0.5202641752691401,0.0,0.0,0.8540053793340657,False
1783095545931463661,44.76989672,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095545983442810,44.821875869,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.025304551496234548,0.0,0.999679788569107,False
1783095545983442810,44.821875869,mast,mainboom,0.0,-0.0601374,1.09553,0.13225627920087857,0.0,0.0,0.9912155550696019,False
1783095545983442810,44.821875869,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0741084277134831,0.9972501897426922,False
1783095545983442810,44.821875869,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095545983442810,44.821875869,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095545983442810,44.821875869,telescope,upperpassive,0.0,2.03711,-0.20229,0.41469291399362007,0.0,0.0,0.9099614206566562,False
1783095545983442810,44.821875869,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095545983442810,44.821875869,mainboom,stick,0.0,3.04904,-0.00649,-0.5210092367284446,0.0,0.0,0.8535510384526771,False
1783095545983442810,44.821875869,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095545986696085,44.825129144,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095545986723760,44.825156819,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546041503628,44.879936687,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.0444911671329917,0.0,0.9990097777535233,False
1783095546041503628,44.879936687,mast,mainboom,0.0,-0.0601374,1.09553,0.13225627920087857,0.0,0.0,0.9912155550696019,False
1783095546041503628,44.879936687,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0749786636134539,0.9971851382781136,False
1783095546041503628,44.879936687,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546041503628,44.879936687,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546041503628,44.879936687,telescope,upperpassive,0.0,2.03711,-0.20229,0.4138986657192397,0.0,0.0,0.9103229616547267,False
1783095546041503628,44.879936687,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546041503628,44.879936687,mainboom,stick,0.0,3.04904,-0.00649,-0.5210092367284446,0.0,0.0,0.8535510384526771,False
1783095546041503628,44.879936687,stick,telescope,0.0,0.605535517255408,0.18741612188931134,0.0,0.0,0.0,1.0,False
1783095546070651049,44.909084108,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546070708517,44.909141576,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546101949695,44.940382754,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.05407876735093733,0.0,0.9985366727976511,False
1783095546101949695,44.940382754,mast,mainboom,0.0,-0.0601374,1.09553,0.13225627920087857,0.0,0.0,0.9912155550696019,False
1783095546101949695,44.940382754,lowerpassive,grapplecarrier,0.0,0.0,-0.261,0.0,0.0,-0.0741084277134831,0.9972501897426922,False
1783095546101949695,44.940382754,grapplecarrier,grappletong1,-0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546101949695,44.940382754,grapplecarrier,grappletong2,0.275000000000001,-0.0192847891741644,-0.202,0.0,0.0,0.0,1.0,False
1783095546101949695,44.940382754,telescope,upperpassive,0.0,2.03711,-0.20229,0.41548684646184014,0.0,0.0,0.9095991866845503,False
1783095546101949695,44.940382754,base_link,mast,0.0,0.0,0.26881,0.0,0.0,0.7649209270789442,0.6441241924634475,False
1783095546101949695,44.940382754,mainboom,stick,0.0,3.04904,-0.00649,-0.5195187176067034,0.0,0.0,0.8544590698543063,False
1783095546101949695,44.940382754,stick,telescope,0.0,0.6054357338587859,0.1874227001686128,0.0,0.0,0.0,1.0,False
1783095546123004515,44.961437574,zed_0_camera_center,zed_0_left_camera_frame,-0.01,0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546123034209,44.961467268,zed_0_camera_center,zed_0_right_camera_frame,-0.01,-0.060116712003946304,0.0,0.0,0.0,0.0,1.0,False
1783095546161932696,45.000365755,upperpassive,lowerpassive,0.0,0.0,-0.154,0.0,0.06366138443185716,0.0,0.9979715567751515,False
1783095546161932696,45.000365755,mast,mainboom,0.0,-0.0601374,1.09553,0.13225627920087857,0.0,0.0,0.9912155550696019,False
