t_ns,t_offset_s,ax,ay,az,gx,gy,gz,qx,qy,qz,qw
1783095546063602958,44.902036017,4.230597019195557,5.131145477294922,15.047739028930664,-0.05273250934221101,0.46280597788680083,0.22199096127326015,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063661461,44.90209452,-14.235880851745605,-7.589248180389404,-3.727591037750244,-0.16724843520421506,0.25827521718780805,0.13410662623861028,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063698744,44.902131803,-1.0055218935012817,-3.1468069553375244,6.956533908843994,-0.30040651001547625,-0.8469367155284463,-0.2216916885375309,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063716345,44.902149404,13.575165748596191,5.479501724243164,22.56792640686035,-0.15339999715489866,0.2790478576170254,0.11013818409101821,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063738511,44.90217157,-3.196216344833374,-3.3479199409484863,7.735846519470215,-0.08735360862669135,0.8281916562061731,0.17884775042731288,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063751577,44.902184636,-8.852519035339355,-7.42404842376709,4.281013488769531,-0.13209471617063667,-0.4778225450013829,-0.31436969702141765,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063786677,44.902219736,5.545013904571533,2.3550686836242676,19.55482292175293,0.08948029261842586,-0.05810833317699457,-0.14339475033562663,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063851028,44.902284087,-4.083268165588379,2.721381425857544,11.56058406829834,0.2354215326912928,1.0220697223175736,0.28058050686652186,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546063961061,44.90239412,-16.480443954467773,-2.029911756515503,1.7455538511276245,-0.04687355478288484,-0.14332948624236777,-0.13434000238030436,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546064070609,44.902503668,-2.179877758026123,2.7285640239715576,16.114355087280273,-0.04474302585222078,-0.7180397152232705,-0.26323700268548017,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546064197491,44.90263055,-0.6356177926063538,3.8310940265655518,16.275962829589844,0.3025331773624535,0.47079546137679107,0.2821784035645199,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
1783095546064335522,44.902768581,-13.510437965393066,-0.4748777449131012,0.6933022737503052,0.18322357389002325,0.08676763826935101,0.18523933721930505,-0.06359033286571503,0.15286441147327423,0.3994216322898865,0.9016935229301453
