t_ns,t_offset_s,T_base_grapple_00,T_base_grapple_01,T_base_grapple_02,T_base_grapple_03,T_base_grapple_10,T_base_grapple_11,T_base_grapple_12,T_base_grapple_13,T_base_grapple_20,T_base_grapple_21,T_base_grapple_22,T_base_grapple_23,T_base_grapple_30,T_base_grapple_31,T_base_grapple_32,T_base_grapple_33,z_axis_x,z_axis_y,z_axis_z
1783095553171595958,52.010029017,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783416146960239,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7847982294126541,0.06819459611614731,0.4670509380121571,0.881596800335913,1.7038889939257775,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553181712372,52.020145431,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783416146960239,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7847982294126541,0.06819459611614731,0.4670509380121571,0.881596800335913,1.7038889939257775,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553191684292,52.030117351,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783416146960239,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7847982294126541,0.06819459611614731,0.4670509380121571,0.881596800335913,1.7038889939257775,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553201558482,52.039991541,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783416146960239,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7847982294126541,0.06819459611614731,0.4670509380121571,0.881596800335913,1.7038889939257775,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553211893585,52.050326644,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783416146960239,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7847982294126541,0.06819459611614731,0.4670509380121571,0.881596800335913,1.7038889939257775,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553222013652,52.060446711,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783500814412296,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7848128538927495,0.06819459611614731,0.4670509380121571,0.881596800335913,1.703837831956115,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553231555685,52.069988744,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783500814412296,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7848128538927495,0.06819459611614731,0.4670509380121571,0.881596800335913,1.703837831956115,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553241639297,52.080072356,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783500814412296,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7848128538927495,0.06819459611614731,0.4670509380121571,0.881596800335913,1.703837831956115,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553251339175,52.089772234,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783500814412296,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7848128538927495,0.06819459611614731,0.4670509380121571,0.881596800335913,1.703837831956115,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553261419665,52.099852724,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783585481864352,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7848274783728446,0.06819459611614731,0.4670509380121571,0.881596800335913,1.7037866699864523,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
1783095553271603991,52.11003705,0.03865541275457742,-0.8842273235264398,0.46545440098256863,-4.783585481864352,0.996922893771293,0.0023370133146099637,-0.07835357198901996,-0.7848274783728446,0.06819459611614731,0.4670509380121571,0.881596800335913,1.7037866699864523,0.0,0.0,0.0,1.0,0.46545440098256863,-0.07835357198901996,0.881596800335913
