Wall time,Step,Value
1771722318.8888707,7,39.23923873901367
1771722458.0768938,8,39.23923873901367
1771722598.8460014,9,39.23923873901367
1771722737.6278028,10,39.23923873901367
1771722874.1301155,11,39.23923873901367
1771723005.9144428,12,39.23923873901367
1771723135.5764923,13,39.23923873901367
1771723265.8754785,14,62.786415100097656
1771723409.5661833,15,62.786415100097656
1771723549.6335795,16,62.786415100097656
1771723688.5515397,17,62.786415100097656
1771723825.793629,18,62.786415100097656
1771723961.3211243,19,62.786415100097656
1771724091.017285,20,62.786415100097656
1771724220.123632,21,63.0244026184082
1771724360.1558595,22,69.95576477050781
1771724503.4598944,23,69.95576477050781
1771724645.0070002,24,69.95576477050781
1771724783.768831,25,69.95576477050781
1771724918.1002767,26,69.95576477050781
1771725051.4395,27,69.95576477050781
1771725181.1175294,28,70.15812683105469
1771725308.6524308,29,86.1820068359375
1771725454.874182,30,86.1820068359375
1771725596.9380705,31,86.1820068359375
1771725735.5844185,32,86.1820068359375
1771725873.4578192,33,86.1820068359375
1771726006.9353344,34,86.1820068359375
1771726136.170327,35,86.1820068359375
1771726266.284636,36,86.48683166503906
1771726404.0663414,37,89.70478057861328
1771726545.9903512,38,89.70478057861328
1771726687.3192933,39,89.70478057861328
1771726825.2180061,40,89.70478057861328
1771726961.731196,41,89.70478057861328
1771727091.0041394,42,89.70478057861328
1771727219.4498217,43,89.2336654663086
1771727344.995182,44,93.23357391357422
1771727492.0739956,45,93.23357391357422
1771727634.8983033,46,93.23357391357422
1771727774.5642326,47,93.23357391357422
1771727911.7980487,48,93.23357391357422
1771728046.080822,49,93.23357391357422
1771728174.5097885,50,93.36840057373047
1771728303.1562593,51,93.39244079589844
1771728444.0365522,52,94.61380767822266
1771728586.9717793,53,94.61380767822266
1771728726.597207,54,94.61380767822266
1771728865.2803612,55,94.61380767822266
1771729000.1312408,56,94.61380767822266
1771729132.5826628,57,94.61380767822266
1771729266.1269543,58,95.09156036376953
1771729398.7189786,59,95.82238006591797
1771729545.224265,60,95.82238006591797
1771729687.2801626,61,95.82238006591797
1771729826.9747267,62,95.82238006591797
1771729965.3571742,63,95.82238006591797
1771730096.6998143,64,95.82238006591797
1771730227.5443354,65,95.85841369628906
1771730358.6575203,66,95.52029418945312
1771730499.4638789,67,96.146484375
1771730643.3345933,68,96.146484375
1771730785.5941331,69,96.146484375
1771730926.1337426,70,96.146484375
1771731061.7331808,71,96.146484375
1771731194.2980905,72,95.8989028930664
1771731323.0410783,73,96.13407897949219
1771731454.832955,74,95.35618591308594
1771731601.3676755,75,95.35618591308594
1771731745.1211257,76,95.35618591308594
1771731884.5266428,77,95.35618591308594
1771732019.7548804,78,95.35618591308594
