Wall time,Step,Value
1771813183.2298553,6,115.32798767089844
1771813273.6664004,7,110.65866088867188
1771813435.6076002,8,110.65866088867188
1771813576.0221508,9,110.65866088867188
1771813719.823152,10,110.65866088867188
1771813834.1658087,11,110.65866088867188
1771813975.118973,12,110.65866088867188
1771814091.6957214,13,110.65866088867188
1771814191.643483,14,110.03727722167969
1771814309.8792193,15,110.03727722167969
1771814385.8579512,16,110.03727722167969
1771814491.0145888,17,110.03727722167969
1771814570.468367,18,110.03727722167969
1771814679.3037832,19,110.03727722167969
1771814816.0499027,20,110.03727722167969
1771814957.4635322,21,109.79269409179688
1771815084.592064,22,109.90966033935547
1771815225.3935854,23,109.90966033935547
1771815310.9372792,24,109.90966033935547
1771815474.9672818,25,109.90966033935547
1771815578.6406677,26,109.90966033935547
1771815749.5938528,27,109.90966033935547
1771815873.6972163,28,109.90966033935547
1771816004.4521785,29,110.61248016357422
1771816184.393477,30,110.61248016357422
1771816355.876515,31,110.61248016357422
1771816509.8952427,32,110.61248016357422
1771816638.5402188,33,110.61248016357422
1771816805.960523,34,111.21341705322266
1771816940.8597002,35,111.21341705322266
1771817107.6188812,36,111.76419067382812
1771817178.4119594,37,110.95958709716797
1771817239.8000574,38,110.95958709716797
1771817370.119835,39,110.95958709716797
1771817530.9273968,40,110.95958709716797
1771817699.9410918,41,110.95958709716797
1771817867.1017067,42,111.14739227294922
1771818015.570995,43,111.14739227294922
1771818116.7591498,44,110.95138549804688
1771818282.8332875,45,110.95138549804688
1771818397.332813,46,110.95138549804688
1771818498.3968234,47,110.95138549804688
1771818556.2773614,48,110.95138549804688
1771818666.9992476,49,111.3747787475586
1771818826.2132099,50,111.3747787475586
1771818946.552206,51,111.3906478881836
1771819007.764577,52,112.56351470947266
1771819159.0593672,53,112.56351470947266
1771819246.91489,54,112.56351470947266
1771819320.6749406,55,112.56351470947266
1771819386.4116004,56,112.56351470947266
1771819471.1428826,57,112.66619110107422
1771819586.498063,58,112.66619110107422
1771819707.9669616,59,112.05916595458984
1771819806.643653,60,112.05916595458984
1771819880.4604821,61,112.05916595458984
1771820038.5232139,62,112.05916595458984
1771820154.7089481,63,112.05916595458984
1771820212.6855414,64,112.07926940917969
1771820281.4271636,65,112.07926940917969
1771820445.3903952,66,112.31526184082031
1771820530.8930345,67,112.32274627685547
1771820659.4217646,68,112.32274627685547
1771820805.6733813,69,112.32274627685547
1771820916.375878,70,112.32274627685547
1771821052.5143206,71,112.32274627685547
1771821187.021548,72,111.91607666015625
1771821300.7007086,73,111.37071228027344
1771821361.2615588,74,112.8780288696289
1771821540.8164332,75,112.8780288696289
1771821704.2338111,76,112.8780288696289
1771821786.6166966,77,112.8780288696289
1771821844.2187002,78,112.8780288696289
1771821966.8343792,79,112.52063751220703
1771822067.4229217,80,112.58382415771484
1771822226.4571114,81,112.62199401855469
1771822384.5175073,82,112.19508361816406
1771822485.9669502,83,112.19508361816406
1771822637.1394453,84,112.19508361816406
1771822810.85981,85,112.19508361816406
1771822973.857211,86,112.19508361816406
1771823055.373318,87,112.1934814453125
1771823137.3334782,88,112.00464630126953
1771823241.4140275,89,109.73405456542969
1771823418.8924139,90,109.73405456542969
1771823574.7851217,91,109.73405456542969
1771823645.350218,92,109.73405456542969
1771823718.1913803,93,109.73405456542969
1771823844.768166,94,109.89358520507812
1771824005.819699,95,109.7322006225586
1771824168.5233662,96,109.64525604248047
1771824339.9453545,97,109.51727294921875
1771824426.242958,98,109.51727294921875
1771824524.4766846,99,109.51727294921875
1771824606.8665726,100,109.51727294921875
1771824744.6932654,101,109.51727294921875
1771824907.2910564,102,109.07111358642578
1771825072.9684026,103,108.02322387695312
1771825189.5629847,104,107.2169189453125
1771825295.5013797,105,107.2169189453125
1771825385.0730371,106,107.2169189453125
1771825507.7145329,107,107.2169189453125
1771825671.1849656,108,107.2169189453125
1771825808.5215063,109,107.3369369506836
1771825913.9538095,110,107.33442687988281
1771825995.9431534,111,106.63738250732422
1771826166.5687668,112,106.29591369628906
1771826282.4273846,113,106.29591369628906
1771826371.2346334,114,106.29591369628906
1771826533.5690093,115,106.29591369628906
1771826688.4110842,116,106.29591369628906
1771826826.4208295,117,106.28068542480469
1771826956.6528287,118,106.62255096435547
1771827017.9288952,119,106.58930206298828
1771827093.9646864,120,106.58930206298828
1771827219.3405235,121,106.58930206298828
1771827333.6000717,122,106.58930206298828
1771827475.415517,123,106.58930206298828
1771827599.6859355,124,106.5517349243164
1771827744.778134,125,106.91360473632812
1771827850.69075,126,106.78194427490234
1771827961.0876641,127,107.26118469238281
1771828079.1749072,128,107.26118469238281
1771828199.6879427,129,107.26118469238281
1771828356.534497,130,107.26118469238281
1771828471.447172,131,107.26118469238281
1771828620.9896822,132,107.05996704101562
1771828784.1628325,133,106.83816528320312
1771828918.3038847,134,106.16231536865234
1771829081.8276062,135,106.16231536865234
1771829172.676753,136,106.16231536865234
